Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
6BE1421,1,14/02/2020,1758,6,2,4,1,1,3,1,33,3,9,0,0,0,0,0,0,0,0,0
7121373,2,02/01/2020,1850,6,2,4,1,1,1,2,50,3,9,9,0,0,0,0,0,0,0,0
7130885,2,03/01/2020,1433,3,1,1,1,1,1,2,24,3,9,9,0,0,0,0,0,0,0,0
7131877,2,03/01/2020,1030,6,1,1,1,1,1,1,24,2,3,9,0,0,0,0,0,0,0,0
7140752,2,04/01/2020,1300,3,1,1,1,1,1,1,39,3,9,17,0,0,0,0,0,0,0,0
7140752,2,04/01/2020,1300,3,1,1,1,2,2,2,38,3,9,17,0,0,0,0,0,0,0,0
7140752,2,04/01/2020,1300,3,1,1,1,3,2,1,1,3,9,17,0,0,0,0,0,0,0,0
7160891,2,06/01/2020,0755,4,1,1,1,1,1,1,23,3,19,9,0,0,0,0,0,0,0,0
7161294,3,06/01/2020,1730,6,1,7,1,1,1,2,36,3,9,9,19,0,0,0,0,0,0,0
7170258,1,07/01/2020,0750,6,1,1,1,1,3,2,11,3,9,0,0,0,0,0,0,0,0,0
7170524,2,07/01/2020,1120,6,1,1,1,1,1,1,20,3,9,9,0,0,0,0,0,0,0,0
7171307,2,07/01/2020,1655,6,1,4,4,1,1,2,24,3,9,1,0,0,0,0,0,0,0,0
7171515,2,07/01/2020,1631,6,1,4,1,1,1,1,48,3,9,1,0,0,0,0,0,0,0,0
7171763,1,07/01/2020,2135,3,1,4,1,1,1,1,52,2,9,0,0,0,0,0,0,0,0,0
7180854,1,08/01/2020,1430,6,1,1,1,1,1,1,23,3,9,0,0,0,0,0,0,0,0,0
7181090,2,08/01/2020,1623,6,1,4,1,1,2,1,36,3,9,11,0,0,0,0,0,0,0,0
7181090,2,08/01/2020,1623,6,1,4,1,2,2,1,34,3,9,11,0,0,0,0,0,0,0,0
7181658,2,08/01/2020,2035,6,1,4,1,1,1,2,22,3,9,9,0,0,0,0,0,0,0,0
7181957,1,08/01/2020,2350,6,2,4,2,1,1,1,34,2,3,0,0,0,0,0,0,0,0,0
7190307,1,09/01/2020,0845,6,2,1,1,1,3,1,32,3,3,0,0,0,0,0,0,0,0,0
7190369,2,09/01/2020,0925,6,1,1,1,1,1,1,37,3,9,3,0,0,0,0,0,0,0,0
7191117,1,09/01/2020,1530,5,1,1,1,1,3,1,16,3,9,0,0,0,0,0,0,0,0,0
7191183,2,09/01/2020,0740,6,1,1,1,1,1,1,25,3,9,1,0,0,0,0,0,0,0,0
7191475,2,09/01/2020,0000,3,2,4,1,1,1,1,51,3,9,1,0,0,0,0,0,0,0,0
71A0078,2,10/01/2020,0130,6,1,4,1,1,1,1,19,2,3,9,0,0,0,0,0,0,0,0
