Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1127681,1,01/01/2022,0530,6,1,4,1,1,1,1,19,2,9,0,0,0,0,0,0,0,0,0
1127764,2,01/01/2022,1731,3,1,6,1,1,1,1,25,3,5,9,0,0,0,0,0,0,0,0
1127764,2,01/01/2022,1731,3,1,6,1,2,1,1,25,2,5,9,0,0,0,0,0,0,0,0
1127766,1,01/01/2022,2030,6,2,6,1,1,1,2,22,3,9,0,0,0,0,0,0,0,0,0
1127766,1,01/01/2022,2030,6,2,6,1,2,2,2,18,3,9,0,0,0,0,0,0,0,0,0
1127881,1,02/01/2022,1627,3,2,4,1,1,1,1,22,3,9,0,0,0,0,0,0,0,0,0
1127934,2,02/01/2022,1345,3,1,1,1,1,2,2,38,3,9,98,0,0,0,0,0,0,0,0
1127965,2,03/01/2022,1320,6,1,1,1,1,1,2,20,3,9,9,0,0,0,0,0,0,0,0
1127988,1,03/01/2022,1507,6,2,1,1,1,3,2,10,3,9,0,0,0,0,0,0,0,0,0
1128012,2,03/01/2022,2222,3,2,4,2,1,1,1,40,3,3,9,0,0,0,0,0,0,0,0
1128219,2,03/01/2022,1157,3,1,1,1,1,2,1,21,3,5,9,0,0,0,0,0,0,0,0
1128260,4,04/01/2022,1305,6,1,1,1,1,1,2,37,3,9,9,9,9,0,0,0,0,0,0
1128260,4,04/01/2022,1305,6,1,1,1,2,2,2,20,3,9,9,9,9,0,0,0,0,0,0
1128260,4,04/01/2022,1305,6,1,1,1,3,2,2,6,2,9,9,9,9,0,0,0,0,0,0
1128274,4,04/01/2022,1430,6,1,1,1,1,1,1,79,3,9,9,19,9,0,0,0,0,0,0
1128274,4,04/01/2022,1430,6,1,1,1,2,2,2,75,3,9,9,19,9,0,0,0,0,0,0
1128317,2,04/01/2022,1710,6,1,4,1,1,1,1,38,3,98,5,0,0,0,0,0,0,0,0
1128562,1,05/01/2022,0935,6,1,1,1,1,3,2,12,3,9,0,0,0,0,0,0,0,0,0
1128839,1,06/01/2022,0416,2,4,6,1,1,1,1,52,2,21,0,0,0,0,0,0,0,0,0
1128948,1,06/01/2022,0750,2,4,1,8,1,2,2,38,2,9,0,0,0,0,0,0,0,0,0
1129428,3,07/01/2022,0650,6,3,4,3,1,1,1,20,3,9,9,11,0,0,0,0,0,0,0
1129487,2,07/01/2022,0826,4,2,1,3,1,1,1,63,3,9,9,0,0,0,0,0,0,0,0
1129487,2,07/01/2022,0826,4,2,1,3,2,1,2,24,3,9,9,0,0,0,0,0,0,0,0
1129543,2,07/01/2022,1315,3,2,1,1,1,1,2,41,3,9,9,0,0,0,0,0,0,0,0
1129543,2,07/01/2022,1315,3,2,1,1,2,2,1,5,3,9,9,0,0,0,0,0,0,0,0
1129594,2,07/01/2022,1853,6,2,4,1,1,1,1,16,2,9,1,0,0,0,0,0,0,0,0
1129594,2,07/01/2022,1853,6,2,4,1,2,2,1,15,3,9,1,0,0,0,0,0,0,0,0
1129689,2,08/01/2022,0926,2,2,1,2,1,1,1,33,2,19,21,0,0,0,0,0,0,0,0
1129712,3,08/01/2022,0810,2,2,1,2,1,2,1,37,3,9,9,19,0,0,0,0,0,0,0
1129712,3,08/01/2022,0810,2,2,1,2,2,2,1,45,3,9,9,19,0,0,0,0,0,0,0
1129722,2,08/01/2022,1225,6,2,1,1,1,2,1,40,3,9,8,0,0,0,0,0,0,0,0
1129722,2,08/01/2022,1225,6,2,1,1,2,2,2,28,3,9,8,0,0,0,0,0,0,0,0
1129746,2,08/01/2022,1401,3,2,1,1,1,2,1,39,2,9,9,0,0,0,0,0,0,0,0
1129746,2,08/01/2022,1401,3,2,1,1,2,1,2,41,2,9,9,0,0,0,0,0,0,0,0
1129746,2,08/01/2022,1401,3,2,1,1,3,2,1,17,3,9,9,0,0,0,0,0,0,0,0
1129746,2,08/01/2022,1401,3,2,1,1,4,2,2,12,2,9,9,0,0,0,0,0,0,0,0
1129793,2,08/01/2022,1907,6,1,4,1,1,2,2,26,3,9,9,0,0,0,0,0,0,0,0
1129992,2,09/01/2022,1832,6,2,4,2,1,1,1,31,3,19,9,0,0,0,0,0,0,0,0
1130004,1,09/01/2022,2157,3,2,4,2,1,3,1,44,3,9,0,0,0,0,0,0,0,0,0
1130179,2,10/01/2022,0744,3,2,1,1,1,1,2,37,3,9,9,0,0,0,0,0,0,0,0
1130245,2,10/01/2022,1226,6,2,1,1,1,1,2,92,3,9,9,0,0,0,0,0,0,0,0
1130375,2,08/01/2022,2005,3,2,4,1,1,1,1,20,3,9,9,0,0,0,0,0,0,0,0
1130397,1,10/01/2022,1718,4,2,4,1,1,3,2,11,2,9,0,0,0,0,0,0,0,0,0
1130434,2,10/01/2022,1812,6,2,4,1,1,1,1,16,2,90,9,0,0,0,0,0,0,0,0
1130434,2,10/01/2022,1812,6,2,4,1,2,2,2,15,2,90,9,0,0,0,0,0,0,0,0
1130441,2,10/01/2022,1902,1,2,4,1,1,1,1,34,1,19,21,0,0,0,0,0,0,0,0
1130456,2,10/01/2022,2025,3,1,4,1,1,1,1,60,3,9,9,0,0,0,0,0,0,0,0
1130895,2,05/01/2022,2137,6,1,4,8,1,1,2,19,3,9,9,0,0,0,0,0,0,0,0
1130933,2,12/01/2022,0641,4,2,4,1,1,1,1,20,2,3,9,0,0,0,0,0,0,0,0
1130985,1,12/01/2022,0835,6,2,1,1,1,3,2,9,3,9,0,0,0,0,0,0,0,0,0
1131179,2,12/01/2022,1232,6,1,1,1,1,1,2,42,2,9,19,0,0,0,0,0,0,0,0
1131185,2,12/01/2022,0718,6,1,1,1,1,1,2,36,3,9,9,0,0,0,0,0,0,0,0
1131226,2,12/01/2022,1408,2,2,1,1,1,1,1,49,2,9,1,0,0,0,0,0,0,0,0
1131376,2,12/01/2022,1300,3,2,1,1,1,1,2,57,3,9,9,0,0,0,0,0,0,0,0
1131376,2,12/01/2022,1300,3,2,1,1,2,1,2,34,2,9,9,0,0,0,0,0,0,0,0
1131652,2,13/01/2022,1032,4,2,1,1,1,1,2,49,3,9,9,0,0,0,0,0,0,0,0
1131652,2,13/01/2022,1032,4,2,1,1,2,2,2,22,2,9,9,0,0,0,0,0,0,0,0
1131779,1,13/01/2022,1115,6,2,1,1,1,3,2,90,2,9,0,0,0,0,0,0,0,0,0
1132015,1,14/01/2022,0735,6,1,7,1,1,3,2,63,3,98,0,0,0,0,0,0,0,0,0
1132158,1,03/01/2022,1326,6,1,1,9,1,3,1,48,3,9,0,0,0,0,0,0,0,0,0
1132184,2,14/01/2022,1242,3,2,1,1,1,1,1,63,1,9,1,0,0,0,0,0,0,0,0
1132204,2,14/01/2022,1653,6,2,4,2,1,1,1,19,2,4,9,0,0,0,0,0,0,0,0
1132225,2,14/01/2022,1621,3,2,4,1,1,1,1,59,3,9,11,0,0,0,0,0,0,0,0
1132225,2,14/01/2022,1621,3,2,4,1,2,1,2,27,2,9,11,0,0,0,0,0,0,0,0
1132225,2,14/01/2022,1621,3,2,4,1,3,2,2,6,2,9,11,0,0,0,0,0,0,0,0
1132237,2,14/01/2022,1507,3,2,1,1,1,1,1,60,3,9,1,0,0,0,0,0,0,0,0
1132251,1,14/01/2022,2030,6,1,4,8,1,3,2,49,3,9,0,0,0,0,0,0,0,0,0
1132255,1,14/01/2022,2030,4,2,4,1,1,1,1,81,2,9,0,0,0,0,0,0,0,0,0
1132268,1,10/01/2022,1515,6,1,1,1,1,3,1,10,3,9,0,0,0,0,0,0,0,0,0
1132276,1,13/01/2022,1240,6,2,1,1,1,3,1,36,3,9,0,0,0,0,0,0,0,0,0
1132276,1,13/01/2022,1240,6,2,1,1,2,3,2,1,2,9,0,0,0,0,0,0,0,0,0
1132370,3,14/01/2022,1254,3,1,1,1,1,1,2,83,3,9,9,21,0,0,0,0,0,0,0
1132510,1,16/01/2022,0047,6,1,4,9,1,3,1,19,3,9,0,0,0,0,0,0,0,0,0
1132512,2,16/01/2022,0015,6,2,4,1,1,1,1,26,3,9,9,0,0,0,0,0,0,0,0
1132560,1,16/01/2022,0707,3,2,1,1,1,1,2,28,2,98,0,0,0,0,0,0,0,0,0
1132632,2,16/01/2022,1155,3,2,1,8,1,1,1,20,2,9,9,0,0,0,0,0,0,0,0
1132666,2,16/01/2022,1748,6,1,4,1,1,1,1,45,2,9,9,0,0,0,0,0,0,0,0
1132872,2,16/01/2022,1220,6,1,1,1,1,1,1,46,3,9,9,0,0,0,0,0,0,0,0
1132872,2,16/01/2022,1220,6,1,1,1,2,2,2,47,3,9,9,0,0,0,0,0,0,0,0
1132872,2,16/01/2022,1220,6,1,1,1,3,2,2,5,3,9,9,0,0,0,0,0,0,0,0
1132921,1,16/01/2022,2048,3,1,4,1,1,3,1,19,3,9,0,0,0,0,0,0,0,0,0
1132921,1,16/01/2022,2048,3,1,4,1,2,3,1,18,3,9,0,0,0,0,0,0,0,0,0
1132924,2,17/01/2022,1040,6,2,1,1,1,1,2,48,2,9,9,0,0,0,0,0,0,0,0
1132924,2,17/01/2022,1040,6,2,1,1,2,2,2,72,2,9,9,0,0,0,0,0,0,0,0
1132933,1,17/01/2022,1110,3,2,1,1,1,2,1,30,3,90,0,0,0,0,0,0,0,0,0
1133034,2,17/01/2022,1329,3,2,1,1,1,1,1,54,3,9,9,0,0,0,0,0,0,0,0
1133034,2,17/01/2022,1329,3,2,1,1,2,2,2,83,3,9,9,0,0,0,0,0,0,0,0
1133034,2,17/01/2022,1329,3,2,1,1,3,2,1,87,2,9,9,0,0,0,0,0,0,0,0
1133050,1,17/01/2022,1206,6,1,1,1,1,3,2,20,2,11,0,0,0,0,0,0,0,0,0
1133080,2,17/01/2022,1138,6,1,1,1,1,1,1,50,3,9,1,0,0,0,0,0,0,0,0
1133082,2,17/01/2022,1325,3,2,1,1,1,1,2,61,3,9,9,0,0,0,0,0,0,0,0
1133082,2,17/01/2022,1325,3,2,1,1,2,2,2,77,3,9,9,0,0,0,0,0,0,0,0
1133093,2,17/01/2022,0949,6,1,1,1,1,2,2,33,2,19,9,0,0,0,0,0,0,0,0
1133115,1,17/01/2022,1232,6,1,1,1,1,3,1,75,3,11,0,0,0,0,0,0,0,0,0
1133125,1,17/01/2022,1615,6,1,1,1,1,3,2,59,3,9,0,0,0,0,0,0,0,0,0
1133157,1,17/01/2022,1740,3,1,4,1,1,1,1,34,2,1,0,0,0,0,0,0,0,0,0
1133443,1,18/01/2022,0810,6,2,1,1,1,3,1,14,3,10,0,0,0,0,0,0,0,0,0
1133562,1,18/01/2022,0925,6,4,1,1,1,1,1,20,3,9,0,0,0,0,0,0,0,0,0
1133667,2,15/01/2022,1230,6,1,1,1,1,1,2,61,3,9,9,0,0,0,0,0,0,0,0
1133697,3,11/01/2022,2300,3,1,4,1,1,2,1,51,2,9,19,9,0,0,0,0,0,0,0
1133697,3,11/01/2022,2300,3,1,4,1,2,2,1,47,3,9,19,9,0,0,0,0,0,0,0
1133697,3,11/01/2022,2300,3,1,4,1,3,1,1,43,3,9,19,9,0,0,0,0,0,0,0
