"REFERENCE_NUMBER","EASTING","NORTHING","NUMBER_OF_VEHICLES","ACCIDENT_DATE","TIME_24HR","ROAD_CLASS","ROAD_SURFACE","LIGHTING_CONDITIONS","WEATHER_CONDITIONS","CASUALTY_CLASS","CASUALTY_SEVERITY","SEX_OF_CASUALTY","AGE_OF_CASUALTY","VEHICLE_TYPE","ROAD_CLASS_CODE","ROAD_SURFACE_CODE","LIGHTING_CODE","WEATHER_CODE","CASUALTY_CLASS_CODE","CASUALTY_SEVERITY_CODE","SEX_OF_CASUALTY_CODE","AGE_OF_CASUALTY_CODE","VEHICLE_TYPE_CODE"
"2181280","418241","442351","2","08/01/2016","1905","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male","38","Motorcycle over 500cc","3","1","4","1","1","2","1","38","5"
"2191037","424993","432898","2","09/01/2016","1615","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Female","50","Car","6","1","4","1","1","3","2","50","9"
"2CQ0870","431159","436397","2","15/01/2016","1645","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","26","Car","6","1","1","1","1","3","1","26","9"
"2CQ0870","431159","436397","2","15/01/2016","1645","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","22","Car","6","1","1","1","2","3","2","22","9"
"3111091","439313","432376","2","01/01/2016","956","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","57","Pedal cycle","3","2","1","1","1","3","1","57","1"
"3111178","426994","439957","2","01/01/2016","1115","A","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male","59","Pedal cycle","3","1","1","1","1","2","1","59","1"
"3111395","427813","431257","1","01/01/2016","1352","Motorway","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female","53","Car","1","2","1","1","1","2","2","53","9"
"3111981","431496","432727","2","01/01/2016","2015","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Female","22","Car","6","2","4","2","2","3","2","22","9"
"3120560","431880","430498","2","02/01/2016","1110","Motorway","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","20","Car","1","2","1","1","2","3","2","20","9"
"3120872","429425","433999","1","02/01/2016","1638","A(M)","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","22","Car","2","2","4","2","1","3","1","22","9"
"3120872","429425","433999","1","02/01/2016","1638","A(M)","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Female","26","Car","2","2","4","2","2","3","2","26","9"
"3130442","435325","433760","5","03/01/2016","1150","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male","35","Car","6","2","1","2","1","3","1","35","9"
"3130442","435325","433760","5","03/01/2016","1150","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Vehicle or pillion passenger","Slight","Female","21","Car","6","2","1","2","2","3","2","21","9"
"3130442","435325","433760","5","03/01/2016","1150","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Vehicle or pillion passenger","Slight","Male","28","Car","6","2","1","2","2","3","1","28","9"
"3130532","427651","433421","1","03/01/2016","1252","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Pedestrian","Slight","Female","18","Taxi/Private hire car","6","2","1","2","3","3","2","18","8"
"3130769","440619","446100","1","03/01/2016","1543","A(M)","Wet / Damp","Darkness: no street lighting","Raining without high winds","Driver or rider","Slight","Female","47","Car","2","2","6","2","1","3","2","47","9"
"3130786","433130","436116","2","03/01/2016","1555","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female","30","Car","3","2","4","2","1","3","2","30","9"
"3130786","433130","436116","2","03/01/2016","1555","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Male","8","Car","3","2","4","2","2","3","1","8","9"
"3130805","428943","433430","2","03/01/2016","1615","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","39","Car","6","2","4","2","1","3","1","39","9"
"3130805","428943","433430","2","03/01/2016","1615","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Female","39","Car","6","2","4","2","2","3","2","39","9"
"3130885","431884","435070","1","03/01/2016","1650","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","42","Car","6","2","4","1","3","3","1","42","9"
"3140260","422045","434280","2","04/01/2016","1730","B","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","26","Pedal cycle","4","2","4","2","1","3","1","26","1"
"3140730","443157","448516","1","04/01/2016","1413","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","58","Motorcycle over 50cc and up to 125cc","6","1","1","1","1","3","1","58","3"
"3141054","431210","439310","2","04/01/2016","1700","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female","29","Car","3","2","4","2","1","3","2","29","9"
"3141054","431210","439310","2","04/01/2016","1700","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","33","Taxi/Private hire car","3","2","4","2","1","3","1","33","8"
