REFERENCE_NUMBER,NUMBER_OF_VEHICLES,FULL_DATE,FULL_TIME,ROAD_CLASS,ROAD_SURFACE_CODE,LIGHTING_CODE,WEATHER_CODE,CASUALTY_NUMBER,CASUALTY_CLASS,SEX_OF_CASUALTY,AGE_OF_CASUALTY,CASUALTY_SEVERITY,VEHICLE_1,VEHICLE_2,VEHICLE_3,VEHICLE_4,VEHICLE_5,VEHICLE_6,VEHICLE_7,VEHICLE_8,VEHICLE_9,VEHICLE_10
1407596,2,05/02/2024,1610,6,1,1,1,1,1,2,63,3,9,9,0,0,0,0,0,0,0,0
1407770,1,08/02/2024,1735,1,2,4,3,1,1,1,48,3,9,0,0,0,0,0,0,0,0,0
1407777,2,08/02/2024,1632,3,3,4,3,1,1,1,38,3,9,9,0,0,0,0,0,0,0,0
1407813,2,08/02/2024,1611,2,3,4,3,1,1,2,44,3,90,9,0,0,0,0,0,0,0,0
1407836,1,09/02/2024,17,6,2,4,2,1,1,1,68,2,9,0,0,0,0,0,0,0,0,0
1407836,1,09/02/2024,17,6,2,4,2,2,2,1,19,2,9,0,0,0,0,0,0,0,0,0
1407903,1,09/02/2024,724,4,2,4,2,1,3,1,13,3,9,0,0,0,0,0,0,0,0,0
1407920,1,09/02/2024,820,3,2,1,2,1,1,1,26,3,9,0,0,0,0,0,0,0,0,0
1407920,1,09/02/2024,820,3,2,1,2,2,3,1,13,2,9,0,0,0,0,0,0,0,0,0
1408093,3,09/02/2024,1302,6,2,1,1,1,1,1,36,3,9,9,9,0,0,0,0,0,0,0
1408093,3,09/02/2024,1302,6,2,1,1,2,1,1,54,3,9,9,9,0,0,0,0,0,0,0
1408128,1,09/02/2024,1520,6,2,1,1,1,1,2,39,3,9,0,0,0,0,0,0,0,0,0
1408223,2,09/02/2024,1743,3,2,4,2,1,1,2,67,2,9,9,0,0,0,0,0,0,0,0
1408223,2,09/02/2024,1743,3,2,4,2,2,1,1,37,3,9,9,0,0,0,0,0,0,0,0
1408223,2,09/02/2024,1743,3,2,4,2,3,2,2,35,3,9,9,0,0,0,0,0,0,0,0
1408327,2,10/02/2024,955,6,2,1,1,1,1,1,62,3,9,1,0,0,0,0,0,0,0,0
1408341,2,09/02/2024,1538,1,2,1,3,1,1,2,33,3,9,9,0,0,0,0,0,0,0,0
1408427,2,10/02/2024,1436,6,2,1,1,1,1,1,44,3,19,9,0,0,0,0,0,0,0,0
1408539,5,23/01/2024,830,2,1,1,1,1,1,2,23,2,9,9,9,9,9,0,0,0,0,0
1408597,2,11/02/2024,1230,6,2,1,1,1,1,1,60,3,90,9,0,0,0,0,0,0,0,0
