"WEATHER_DESCRIPTION","CASUALTY_SEVERITY_DESC","INCIDENT_COUNT"
"Fine with high winds","Fatal","2"
"Fine with high winds","Serious","55"
"Fine with high winds","Slight","295"
"Fine without high winds","Fatal","172"
"Fine without high winds","Serious","3783"
"Fine without high winds","Slight","21881"
"Fog or mist – if hazard","Fatal","2"
"Fog or mist – if hazard","Slight","18"
"Other","Fatal","3"
"Other","Serious","51"
"Other","Slight","238"
"Raining with high winds","Fatal","7"
"Raining with high winds","Serious","63"
"Raining with high winds","Slight","333"
"Raining without high winds","Fatal","22"
"Raining without high winds","Serious","439"
"Raining without high winds","Slight","2414"
"Snowing with high winds","Serious","5"
"Snowing with high winds","Slight","38"
"Snowing without high winds","Serious","17"
"Snowing without high winds","Slight","174"
"Unknown","Serious","41"
"Unknown","Slight","397"
