"LIGHTING_DESCRIPTION","CASUALTY_SEVERITY_DESC","INCIDENT_COUNT"
"Darkness: no street lighting","Fatal","12"
"Darkness: no street lighting","Serious","125"
"Darkness: no street lighting","Slight","521"
"Darkness: street lighting unknown","Fatal","10"
"Darkness: street lighting unknown","Serious","198"
"Darkness: street lighting unknown","Slight","1636"
"Darkness: street lights present and lit","Fatal","72"
"Darkness: street lights present and lit","Serious","1221"
"Darkness: street lights present and lit","Slight","5667"
"Darkness: street lights present but unlit","Serious","18"
"Darkness: street lights present but unlit","Slight","103"
"Daylight: street lights present","Fatal","115"
"Daylight: street lights present","Serious","2897"
"Daylight: street lights present","Slight","17909"
