"YEAR","MONTH_NUM","RAIN_FLAG","INCIDENT_COUNT"
"2009","01","No rain","214"
"2009","01","Rain","25"
"2009","02","No rain","191"
"2009","02","Rain","8"
"2009","03","No rain","230"
"2009","03","Rain","18"
"2009","04","No rain","242"
"2009","04","Rain","16"
"2009","05","No rain","235"
"2009","05","Rain","28"
"2009","06","No rain","222"
"2009","06","Rain","6"
"2009","07","No rain","246"
"2009","07","Rain","50"
"2009","08","No rain","255"
"2009","08","Rain","22"
"2009","09","No rain","233"
"2009","09","Rain","14"
"2009","10","No rain","224"
"2009","10","Rain","23"
"2009","11","No rain","197"
"2009","11","Rain","80"
"2009","12","No rain","224"
"2009","12","Rain","36"
"2010","01","No rain","154"
"2010","01","Rain","16"
"2010","02","No rain","183"
"2010","02","Rain","18"
"2010","03","No rain","181"
"2010","03","Rain","20"
"2010","04","No rain","213"
"2010","04","Rain","9"
"2010","05","No rain","220"
"2010","05","Rain","12"
"2010","06","No rain","222"
"2010","06","Rain","17"
"2010","07","No rain","232"
"2010","07","Rain","24"
"2010","08","No rain","194"
"2010","08","Rain","20"
"2010","09","No rain","215"
"2010","09","Rain","31"
"2010","10","No rain","217"
"2010","10","Rain","37"
"2010","11","No rain","264"
"2010","11","Rain","50"
"2010","12","No rain","199"
"2010","12","Rain","5"
"2012","01","No rain","153"
"2012","01","Rain","33"
"2012","02","No rain","242"
"2012","02","Rain","6"
"2012","03","No rain","227"
"2012","03","Rain","1"
"2012","04","No rain","152"
"2012","04","Rain","37"
"2012","05","No rain","249"
"2012","05","Rain","9"
"2012","06","No rain","152"
"2012","06","Rain","40"
"2012","07","No rain","226"
"2012","07","Rain","18"
"2012","08","No rain","247"
"2012","08","Rain","17"
"2012","09","No rain","212"
"2012","09","Rain","34"
"2012","10","No rain","224"
"2012","10","Rain","25"
"2012","11","No rain","189"
"2012","11","Rain","33"
"2012","12","No rain","188"
"2012","12","Rain","30"
"2013","01","No rain","201"
"2013","01","Rain","7"
"2013","02","No rain","171"
"2013","02","Rain","10"
"2013","03","No rain","166"
"2013","03","Rain","17"
