Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1258802,1,02/01/2023,1025,6,2,1,1,1,3,2,93,2,9,0,0,0,0,0,0,0,0,0
1258834,2,02/01/2023,1520,1,1,1,1,1,2,2,74,3,9,9,0,0,0,0,0,0,0,0
1258857,1,02/01/2023,1920,6,2,4,1,1,2,2,33,3,19,0,0,0,0,0,0,0,0,0
1258863,1,02/01/2023,2100,6,4,6,8,1,1,1,67,3,5,0,0,0,0,0,0,0,0,0
1258922,1,03/01/2023,0705,6,4,4,2,1,1,1,20,3,4,0,0,0,0,0,0,0,0,0
1259037,2,03/01/2023,1028,3,2,1,2,1,1,2,73,3,9,22,0,0,0,0,0,0,0,0
1259239,2,03/01/2023,1645,6,2,4,1,1,1,1,45,3,9,9,0,0,0,0,0,0,0,0
1259273,2,03/01/2023,0042,6,4,4,1,1,1,1,42,2,9,8,0,0,0,0,0,0,0,0
1259931,2,04/01/2023,1745,3,2,4,5,1,1,2,52,3,9,9,0,0,0,0,0,0,0,0
1259934,1,04/01/2023,0920,4,2,1,2,1,3,2,72,3,19,0,0,0,0,0,0,0,0,0
1260104,3,05/01/2023,1717,1,2,4,1,1,2,2,78,2,9,9,9,0,0,0,0,0,0,0
1260136,1,04/01/2023,1555,6,2,1,1,1,3,1,40,3,9,0,0,0,0,0,0,0,0,0
1260489,2,06/01/2023,1830,3,1,4,1,1,1,1,37,3,9,9,0,0,0,0,0,0,0,0
1260489,2,06/01/2023,1830,3,1,4,1,2,1,2,32,2,9,9,0,0,0,0,0,0,0,0
1260585,2,07/01/2023,0826,6,2,1,2,1,1,1,35,3,9,9,0,0,0,0,0,0,0,0
1260585,2,07/01/2023,0826,6,2,1,2,2,1,2,55,3,9,9,0,0,0,0,0,0,0,0
